Customer ID,Price,Country,Frequency,Cluster
12346.0,580.44,United Kingdom,17,0
12347.0,644.16,Iceland,8,0
12348.0,193.1,Finland,5,0
12349.0,1504.59,Italy,5,0
12350.0,65.3,Norway,1,0
12351.0,49.46,Unspecified,1,0
12352.0,2265.7,Norway,13,3
12353.0,63.08,Bahrain,2,0
12354.0,261.22,Spain,1,0
12355.0,107.43,Bahrain,2,0
12356.0,450.25,Portugal,6,0
12357.0,1834.31,Switzerland,3,3
12358.0,413.34,Austria,5,0
12359.0,2787.89,Cyprus,14,3
12360.0,736.13,Austria,9,0
12361.0,112.25,Belgium,4,0
12362.0,1213.29,Belgium,14,0
12363.0,53.17,Unspecified,2,0
12364.0,162.37,Belgium,4,0
12365.0,698.0,Cyprus,3,0
12366.0,5.07,Cyprus,1,0
12367.0,35.2,Denmark,1,0
12368.0,79.05,Cyprus,1,0
12369.0,292.85,Austria,3,0
12370.0,692.01,Austria,7,0
12371.0,665.9300000000001,Switzerland,5,0
12372.0,156.07,Denmark,3,0
12373.0,236.0,Austria,3,0
12374.0,288.72,Austria,4,0
12375.0,119.60000000000001,Finland,3,0
12376.0,104.4,Switzerland,2,0
12377.0,416.52,Switzerland,4,0
12378.0,1017.41,Switzerland,2,0
12379.0,237.5,Belgium,5,0
12380.0,4277.570000000001,Belgium,15,3
12381.0,417.04,Norway,6,0
12382.0,18.38,Netherlands,1,0
12383.0,309.36,Belgium,6,0
12384.0,227.27,Switzerland,3,0
12385.0,254.25,Belgium,2,0
12386.0,45.72,Australia,2,0
12387.0,24.86,Australia,1,0
12388.0,412.41,Australia,8,0
12389.0,130.06,Australia,3,0
12390.0,127.9,Belgium,1,0
12391.0,1074.0,Cyprus,7,0
12392.0,35.25,Australia,1,0
12393.0,283.8,Australia,7,0
12394.0,91.00999999999999,Belgium,2,0
12395.0,920.24,Belgium,18,0
12396.0,149.46,RSA,1,0
12397.0,437.0,Belgium,2,0
12398.0,169.38,Switzerland,1,0
12399.0,224.56,Belgium,7,0
12400.0,32.05,Australia,1,0
12401.0,48.4,Belgium,1,0
12402.0,244.1,Belgium,7,0
12403.0,81.93,Denmark,3,0
12404.0,63.24,Finland,1,0
12405.0,191.39000000000001,Finland,1,0
12406.0,472.46,Denmark,7,0
12407.0,251.59,Belgium,5,0
12408.0,529.03,Belgium,14,0
12409.0,879.67,Switzerland,13,0
12410.0,252.84,Switzerland,4,0
12411.0,74.7,Australia,1,0
12412.0,337.41,Denmark,8,0
12413.0,328.99,Spain,6,0
12414.0,631.34,Austria,8,0
12415.0,3151.84,Australia,33,3
12416.0,16.88,Australia,1,0
12417.0,2094.56,Belgium,27,3
12418.0,345.48,Switzerland,5,0
12419.0,126.09,Spain,2,0
12420.0,136.51,Cyprus,1,0
12421.0,312.14,Spain,8,0
12422.0,2845.02,Australia,21,3
12423.0,490.94,Denmark,11,0
12424.0,222.5,Australia,7,0
12425.0,228.19,Portugal,3,0
12426.0,296.81,Germany,3,0
12427.0,210.42,Germany,5,0
12428.0,1418.79,Finland,12,0
12429.0,577.32,Denmark,9,0
12430.0,68.48,Norway,1,0
12431.0,1580.53,Belgium,33,3
12432.0,1139.49,Norway,5,0
12433.0,1649.6100000000001,Norway,11,3
12434.0,266.25,Australia,5,0
12435.0,417.66,Denmark,6,0
12436.0,84.28,Norway,1,0
12437.0,2003.68,France,47,3
12438.0,381.7,Norway,2,0
12439.0,271.46,Cyprus,3,0
12440.0,189.79,Austria,3,0
12441.0,81.42,France,1,0
12442.0,40.08,Spain,1,0
12443.0,123.28,Norway,1,0
12444.0,1119.1299999999999,Norway,5,0
